round,candidate,cell,status,target_profile,notes,L_mm,tap_mm,Egap_mm,S1_mm,S2_mm,S3_mm,S4_mm,S5_mm,S6_mm,W0_mm,feed_len_mm,feed_taper_len_mm,feed_tip_w_mm,feed_overlap_mm,via_diameter_mm,metal_layer,via_layer,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db,margin_s21_5g_db,margin_s21_6g_db,margin_s21_8g_db,margin_passband_min_db,margin_ripple_db,margin_s11_db,margin_s22_db,hard_constraints_ok,rl6_ok,min_constraint_margin_db,objective_score,geometry_key
interdigital_7o_fr4_210um_round4,i7_fr4_r4_tw020_s6m,i7_fr4_r4_tw020_s6m_mm_coords,TUNE,fr4_25db_rl6,tw020 plus tightened output-side outer gap,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1076,0.3648,3,0.6,0.2,0.06,0.254,cond,pcvia1,-25.91,-2.78,-3.44,-4.70,-51.83,-4.70,3.18,-4.64,-4.62,0.91,2.22,0.3,0.3,0.82,-1.36,-1.38,True,False,-1.38,-13.9615,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.10760|0.36480|3.00000|0.60000|0.20000|0.06000|0.25400
interdigital_7o_fr4_210um_round5,i7_fr4_r5_w0345_len400,i7_fr4_r5_w0345_len400_mm_coords,TUNE,fr4_25db_rl6,narrow feedline with longer straight section,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.345,4,0.6,0.18,0.06,0.254,cond,pcvia1,-25.66,-1.95,-2.87,-4.78,-50.59,-4.78,3.30,-4.50,-4.60,0.66,3.05,0.22,0.22,0.7,-1.5,-1.4,True,False,-1.5,-18.828,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.34500|4.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round5,i7_fr4_r5_w0385_len350,i7_fr4_r5_w0385_len350_mm_coords,TUNE,fr4_25db_rl6,wide feedline with slightly longer straight section,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.385,3.5,0.6,0.18,0.06,0.254,cond,pcvia1,-26.91,-2.66,-2.95,-5.02,-52.40,-5.02,3.46,-4.42,-4.62,1.91,2.34,-0.02,-0.02,0.54,-1.58,-1.38,False,False,-1.58,-20.7179,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.38500|3.50000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round3,i7_fr4_r3_t195_ov008,i7_fr4_r3_t195_ov008_mm_coords,TUNE,fr4_25db_rl6,larger taper overlap to increase feed loading,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.18,0.08,0.254,cond,pcvia1,-23.44,-1.56,-2.61,-4.00,-43.15,-4.00,2.52,-5.41,-5.68,-1.56,3.44,1,1,1.48,-0.59,-0.32,False,False,-1.56,-23.7663,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.18000|0.08000|0.25400
interdigital_7o_fr4_210um_round6,i7_fr4_r6_base_tw0190,i7_fr4_r6_base_tw0190_mm_coords,TUNE,fr4_25db_rl6,baseline with small tip widening for Qe trim,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.19,0.06,0.254,cond,pcvia1,-25.27,-2.85,-3.53,-4.89,-46.59,-4.89,3.33,-4.40,-4.52,0.27,2.15,0.11,0.11,0.67,-1.6,-1.48,True,False,-1.6,-24.5025,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.19000|0.06000|0.25400
interdigital_7o_fr4_210um_round2,i7_fr4_r2_t190_tw022,i7_fr4_r2_t190_tw022_mm_coords,TUNE,fr4_25db_rl6,wider taper tip to test weaker local coupling,5.55,1.9,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.22,0.06,0.254,cond,pcvia1,-28.46,-3.61,-2.47,-5.04,-53.25,-5.04,3.46,-4.37,-4.51,3.46,1.39,-0.04,-0.04,0.54,-1.63,-1.49,False,False,-1.63,-25.2001,5.55000|1.90000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.22000|0.06000|0.25400
interdigital_7o_fr4_210um_round6,i7_fr4_r6_base_l5545_tw0190,i7_fr4_r6_base_l5545_tw0190_mm_coords,TUNE,fr4_25db_rl6,baseline mild L shortening plus small tip widening,5.545,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.19,0.06,0.254,cond,pcvia1,-26.55,-2.43,-2.32,-4.99,-51.99,-4.99,3.62,-4.41,-4.41,1.55,2.57,0.01,0.01,0.38,-1.59,-1.59,True,False,-1.59,-27.4525,5.54500|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.19000|0.06000|0.25400
interdigital_7o_fr4_210um_round5,i7_fr4_r5_len350,i7_fr4_r5_len350_mm_coords,TUNE,fr4_25db_rl6,slightly longer straight feed section,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3.5,0.6,0.18,0.06,0.254,cond,pcvia1,-27.69,-3.52,-3.79,-4.97,-56.28,-4.97,3.25,-4.25,-4.55,2.69,1.48,0.03,0.03,0.75,-1.75,-1.45,True,False,-1.75,-28.192,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.50000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round3,i7_fr4_r3_t195_ov004,i7_fr4_r3_t195_ov004_mm_coords,TUNE,fr4_25db_rl6,smaller taper overlap to reduce feed loading,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.18,0.04,0.254,cond,pcvia1,-28.36,-3.70,-2.62,-5.38,-61.16,-5.38,3.89,-4.20,-4.29,3.36,1.3,-0.38,-0.38,0.11,-1.8,-1.71,False,False,-1.8,-43.8309,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.18000|0.04000|0.25400
interdigital_7o_fr4_210um_round3,i7_fr4_r3_t195_tw016,i7_fr4_r3_t195_tw016_mm_coords,TUNE,fr4_25db_rl6,narrower taper tip to test stronger local coupling,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.16,0.06,0.254,cond,pcvia1,-25.48,-2.77,-3.31,-5.27,-46.85,-5.27,3.57,-3.96,-4.15,0.48,2.23,-0.27,-0.27,0.43,-2.04,-1.85,False,False,-2.04,-56.2064,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.16000|0.06000|0.25400
interdigital_7o_fr4_210um_round5,i7_fr4_r5_w0385,i7_fr4_r5_w0385_mm_coords,TUNE,fr4_25db_rl6,slightly wider feedline,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.385,3,0.6,0.18,0.06,0.254,cond,pcvia1,-26.62,-2.66,-2.22,-5.33,-52.56,-5.33,3.95,-4.11,-4.01,1.62,2.34,-0.33,-0.33,0.05,-1.89,-1.99,False,False,-1.99,-56.9089,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.38500|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round4,i7_fr4_r4_s6p,i7_fr4_r4_s6p_mm_coords,TUNE,fr4_25db_rl6,relax only the output-side outer gap,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1276,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-27.75,-4.11,-2.40,-5.55,-55.58,-5.55,4.09,-4.02,-3.87,2.75,0.89,-0.55,-0.55,-0.09,-1.98,-2.13,False,False,-2.13,-73.3218,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.12760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round3,i7_fr4_r3_t194,i7_fr4_r3_t194_mm_coords,TUNE,fr4_25db_rl6,slightly lower tap to see whether input match improves,5.55,1.94,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-27.75,-3.73,-2.43,-5.62,-53.13,-5.62,4.16,-3.76,-3.93,2.75,1.27,-0.62,-0.62,-0.16,-2.24,-2.07,False,False,-2.24,-85.2337,5.55000|1.94000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round5,i7_fr4_r5_w0345_len350,i7_fr4_r5_w0345_len350_mm_coords,TUNE,fr4_25db_rl6,narrow feedline with slightly longer straight section,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.345,3.5,0.6,0.18,0.06,0.254,cond,pcvia1,-23.36,-1.90,-3.77,-4.22,-46.25,-4.22,2.55,-4.23,-4.19,-1.64,3.1,0.78,0.78,1.45,-1.77,-1.81,False,False,-1.81,-89.4788,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.34500|3.50000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round5,i7_fr4_r5_w0405,i7_fr4_r5_w0405_mm_coords,TUNE,fr4_25db_rl6,wider feedline; lower feed impedance trial,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.405,3,0.6,0.18,0.06,0.254,cond,pcvia1,-22.86,-2.85,-3.60,-4.75,-46.94,-4.75,3.20,-4.61,-4.46,-2.14,2.15,0.25,0.25,0.8,-1.39,-1.54,False,False,-2.14,-102.868,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.40500|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round3,i7_fr4_r3_t196,i7_fr4_r3_t196_mm_coords,TUNE,fr4_25db_rl6,slightly higher tap to check the opposite match direction,5.55,1.96,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-25.62,-3.13,-3.45,-5.72,-48.09,-5.72,4.32,-3.63,-3.68,0.62,1.87,-0.72,-0.72,-0.32,-2.37,-2.32,False,False,-2.37,-109.229,5.55000|1.96000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round5,i7_fr4_r5_w0335,i7_fr4_r5_w0335_mm_coords,TUNE,fr4_25db_rl6,narrower feedline; higher feed impedance trial,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.335,3,0.6,0.18,0.06,0.254,cond,pcvia1,-25.53,-2.25,-4.52,-5.37,-46.71,-5.37,3.39,-3.46,-3.47,0.53,2.75,-0.37,-0.37,0.61,-2.54,-2.53,False,False,-2.54,-111.675,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.33500|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round3,i7_fr4_r3_t194_tl045,i7_fr4_r3_t194_tl045_mm_coords,TUNE,fr4_25db_rl6,combined lower tap and shorter taper for a tighter input launch,5.55,1.94,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.45,0.18,0.06,0.254,cond,pcvia1,-27.09,-3.03,-2.66,-5.86,-51.63,-5.86,4.30,-3.50,-3.72,2.09,1.97,-0.86,-0.86,-0.3,-2.5,-2.28,False,False,-2.5,-121.278,5.55000|1.94000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.45000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round6,i7_fr4_r6_base_l5545,i7_fr4_r6_base_l5545_mm_coords,TUNE,fr4_25db_rl6,baseline plus slight L shortening; preserve 5 GHz margin and test 8 GHz edge,5.545,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-22.13,-1.70,-3.38,-2.48,-40.40,-3.38,1.89,-4.83,-4.85,-2.87,3.3,2.52,1.62,2.11,-1.17,-1.15,False,False,-2.87,-150.688,5.54500|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round2,i7_fr4_r2_t190_tw016,i7_fr4_r2_t190_tw016_mm_coords,TUNE,fr4_25db_rl6,narrower taper tip to test stronger local coupling,5.55,1.9,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.16,0.06,0.254,cond,pcvia1,-23.75,-2.89,-2.50,-5.84,-43.20,-5.84,4.25,-3.50,-3.60,-1.25,2.11,-0.84,-0.84,-0.25,-2.5,-2.4,False,False,-2.5,-154.096,5.55000|1.90000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.16000|0.06000|0.25400
interdigital_7o_fr4_210um_round4,i7_fr4_r4_tw020_s6p,i7_fr4_r4_tw020_s6p_mm_coords,TUNE,fr4_25db_rl6,tw020 plus relaxed output-side outer gap,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1276,0.3648,3,0.6,0.2,0.06,0.254,cond,pcvia1,-26.03,-3.53,-2.38,-6.07,-45.25,-6.07,4.45,-3.53,-3.30,1.03,1.47,-1.07,-1.07,-0.45,-2.47,-2.7,False,False,-2.7,-157.985,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.12760|0.36480|3.00000|0.60000|0.20000|0.06000|0.25400
interdigital_7o_fr4_210um_round4,i7_fr4_r4_s1p,i7_fr4_r4_s1p_mm_coords,TUNE,fr4_25db_rl6,relax only the input-side outer gap,5.55,1.95,0.4823,0.1276,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-21.73,-1.62,-2.08,-3.66,-41.44,-3.66,2.32,-5.18,-5.45,-3.27,3.38,1.34,1.34,1.68,-0.82,-0.55,False,False,-3.27,-178.121,5.55000|1.95000|0.48230|0.12760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round2,i7_fr4_r2_t195_s1m,i7_fr4_r2_t195_s1m_mm_coords,TUNE,fr4_25db_rl6,nominal tap with tighter outer coupling,5.55,1.95,0.4823,0.1076,0.175,0.1857,0.1857,0.175,0.1076,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-22.81,-1.68,-2.13,-5.65,-45.23,-5.65,4.19,-3.57,-3.82,-2.19,3.32,-0.65,-0.65,-0.19,-2.43,-2.18,False,False,-2.43,-188.156,5.55000|1.95000|0.48230|0.10760|0.17500|0.18570|0.18570|0.17500|0.10760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round4,i7_fr4_r4_s6m,i7_fr4_r4_s6m_mm_coords,TUNE,fr4_25db_rl6,tighten only the output-side outer gap,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1076,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-25.82,-2.70,-2.90,-6.23,-47.35,-6.23,4.71,-3.15,-3.37,0.82,2.3,-1.23,-1.23,-0.71,-2.85,-2.63,False,False,-2.85,-193.597,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.10760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round6,i7_fr4_r6_base_l5540,i7_fr4_r6_base_l5540_mm_coords,TUNE,fr4_25db_rl6,baseline plus moderate L shortening; watch 6 GHz entry,5.54,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-27.46,-3.81,-3.05,-6.38,-50.08,-6.38,4.63,-3.41,-3.18,2.46,1.19,-1.38,-1.38,-0.63,-2.59,-2.82,False,False,-2.82,-201.528,5.54000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round4,i7_fr4_r4_s1m,i7_fr4_r4_s1m_mm_coords,TUNE,fr4_25db_rl6,tighten only the input-side outer gap,5.55,1.95,0.4823,0.1076,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-21.98,-1.66,-2.31,-4.94,-41.63,-4.94,3.47,-4.13,-4.14,-3.02,3.34,0.06,0.06,0.53,-1.87,-1.86,False,False,-3.02,-211.972,5.55000|1.95000|0.48230|0.10760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round4,i7_fr4_r4_tw020_s1p,i7_fr4_r4_tw020_s1p_mm_coords,TUNE,fr4_25db_rl6,tw020 plus relaxed input-side outer gap,5.55,1.95,0.4823,0.1276,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.2,0.06,0.254,cond,pcvia1,-26.03,-3.64,-2.27,-6.37,-44.96,-6.37,4.95,-3.18,-3.20,1.03,1.36,-1.37,-1.37,-0.95,-2.82,-2.8,False,False,-2.82,-221.52,5.55000|1.95000|0.48230|0.12760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.20000|0.06000|0.25400
interdigital_7o_fr4_210um_round4,i7_fr4_r4_tw020_s1m,i7_fr4_r4_tw020_s1m_mm_coords,TUNE,fr4_25db_rl6,tw020 plus tightened input-side outer gap,5.55,1.95,0.4823,0.1076,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.2,0.06,0.254,cond,pcvia1,-21.17,-1.38,-3.18,-4.67,-38.28,-4.67,3.29,-4.19,-4.58,-3.83,3.62,0.33,0.33,0.71,-1.81,-1.42,False,False,-3.83,-295.127,5.55000|1.95000|0.48230|0.10760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.20000|0.06000|0.25400
interdigital_7o_fr4_210um_round5,i7_fr4_r5_len400,i7_fr4_r5_len400_mm_coords,TUNE,fr4_25db_rl6,longer straight feed section for impedance-transform test,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,4,0.6,0.18,0.06,0.254,cond,pcvia1,-24.93,-2.54,-3.35,-7.01,-46.15,-7.01,5.22,-2.85,-2.76,-0.07,2.46,-2.01,-2.01,-1.22,-3.15,-3.24,False,False,-3.24,-357.464,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|4.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round3,i7_fr4_r3_t196_tl075,i7_fr4_r3_t196_tl075_mm_coords,TUNE,fr4_25db_rl6,combined higher tap and longer taper for a looser input launch,5.55,1.96,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.75,0.18,0.06,0.254,cond,pcvia1,-19.55,-1.37,-3.36,-5.07,-38.19,-5.07,3.79,-3.94,-4.00,-5.45,3.63,-0.07,-0.07,0.21,-2.06,-2,False,False,-5.45,-596.577,5.55000|1.96000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.75000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round5,i7_fr4_r5_w0385_len400,i7_fr4_r5_w0385_len400_mm_coords,TUNE,fr4_25db_rl6,wide feedline with longer straight section,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.385,4,0.6,0.18,0.06,0.254,cond,pcvia1,-19.55,-1.63,-5.04,-4.99,-38.71,-5.04,3.41,-2.95,-3.18,-5.45,3.37,0.01,-0.04,0.59,-3.05,-2.82,False,False,-5.45,-687.406,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.38500|4.00000|0.60000|0.18000|0.06000|0.25400
