candidate,trace_csv,status,tx_score,peak_freq_ghz,peak_s21_db,pass_low_s21_db,pass_center_s21_db,pass_high_s21_db,passband_min_s21_db,passband_max_s21_db,passband_ripple_db,worst_s11_passband_db,worst_s22_passband_db,worst_s11_high_passband_db,worst_s22_high_passband_db,worst_high_return_loss_db,high_return_loss_margin_db,pass_high_s11_db,pass_high_s22_db,lo_stopband_max_s21_db,image_stopband_points,image_stopband_max_s21_db,note
tx_band1_mcfil_r7_cnn018_rand12_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r7_cnn018_rand12_p2up_graphical_bb_14_23g\tx_band1_mcfil_r7_cnn018_rand12_hfss_trace.csv,TUNE,-147.153,18.6500,-2.1136,-4.1214,-2.1696,-4.5172,-4.2805,-2.1136,2.1669,-5.0724,-5.2922,-5.0724,-5.2922,-5.0724,-4.9276,-4.7840,-4.9918,-39.1922,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable
tx_band1_mcfil_r8_cnn023_rand17_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r8_cnn023_rand17_p2up_graphical_bb_14_23g\tx_band1_mcfil_r8_cnn023_rand17_hfss_trace.csv,TUNE,-133.001,18.6500,-2.1356,-4.1285,-2.1766,-4.3907,-4.1716,-2.1356,2.0360,-5.2383,-5.3619,-5.2383,-5.3619,-5.2383,-4.7617,-4.9568,-5.0780,-39.4099,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable
tx_band1_mcfil_r8_cnn003_outer_gap_stronger_width_m006_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r8_cnn003_outer_gap_stronger_width_m006_p2up_graphical_bb_14_23g\tx_band1_mcfil_r8_cnn003_outer_gap_stronger_width_m006_hfss_trace.csv,TUNE,-225.281,18.6500,-2.1869,-4.3085,-2.2279,-5.0568,-4.8028,-2.1869,2.6158,-4.5602,-4.4770,-4.5602,-4.4770,-4.4770,-5.5230,-4.3113,-4.2296,-39.4151,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable
tx_band1_mcfil_r9_cnn004_center_gap_relax_keep_len_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r9_cnn004_center_gap_relax_keep_len_p2up_graphical_bb_14_23g\tx_band1_mcfil_r9_cnn004_center_gap_relax_keep_len_hfss_trace.csv,TUNE,-197.637,18.5500,-2.2584,-4.1919,-2.2669,-4.9545,-4.7132,-2.2584,2.4547,-4.6569,-4.8090,-4.6569,-4.8090,-4.6569,-5.3431,-4.4128,-4.5621,-39.9116,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable
tx_band1_mcfil_r9_cnn044_rand38_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r9_cnn044_rand38_p2up_graphical_bb_14_23g\tx_band1_mcfil_r9_cnn044_rand38_hfss_trace.csv,TUNE,-93.946,18.6000,-2.2296,-4.1800,-2.2492,-4.1165,-4.1800,-2.2296,1.9504,-5.5178,-5.9611,-5.5178,-5.9611,-5.5178,-4.4822,-5.2524,-5.6734,-39.7990,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable
tx_band1_mcfil_r10_cnn042_rand36_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r10_cnn042_rand36_p2up_graphical_bb_14_23g\tx_band1_mcfil_r10_cnn042_rand36_hfss_trace.csv,TUNE,-98.515,18.6000,-2.2980,-4.1724,-2.3071,-4.3493,-4.1724,-2.2980,1.8744,-5.6722,-5.6826,-5.6722,-5.6826,-5.6722,-4.3278,-5.3701,-5.3954,-40.6924,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable
tx_band1_mcfil_r10_cnn006_edge_short_center_hold_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r10_cnn006_edge_short_center_hold_p2up_graphical_bb_14_23g\tx_band1_mcfil_r10_cnn006_edge_short_center_hold_hfss_trace.csv,TUNE,-113.518,18.6000,-2.3394,-4.3268,-2.3481,-4.4216,-4.3268,-2.3394,1.9874,-5.4148,-5.6547,-5.4148,-5.6547,-5.4148,-4.5852,-5.1517,-5.3641,-40.8321,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable
tx_band1_mcfil_r11_cnn025_rand19_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r11_cnn025_rand19_p2up_graphical_bb_14_23g\tx_band1_mcfil_r11_cnn025_rand19_hfss_trace.csv,TUNE,-56.691,18.6000,-2.3140,-4.1255,-2.3243,-3.9123,-4.1255,-2.3140,1.8115,-6.1294,-6.2623,-6.1294,-6.2623,-6.1294,-3.8706,-5.8433,-5.9798,-40.4447,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable
tx_band1_mcfil_r11_cnn032_rand26_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r11_cnn032_rand26_p2up_graphical_bb_14_23g\tx_band1_mcfil_r11_cnn032_rand26_hfss_trace.csv,TUNE,-66.930,18.6500,-2.2715,-4.0830,-2.2951,-4.0565,-4.0830,-2.2715,1.8116,-6.1044,-6.0384,-6.1044,-6.0384,-6.0384,-3.9616,-5.7815,-5.7317,-40.3987,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable
tx_band1_mcfil_r12_cnn030_rand21_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r12_cnn030_rand21_p2up_graphical_bb_14_23g\tx_band1_mcfil_r12_cnn030_rand21_hfss_trace.csv,TUNE,10.086,19.0500,-2.0341,-5.8761,-2.4913,-2.3154,-5.8761,-2.0341,3.8420,-11.8740,-11.7420,-11.8740,-11.7420,-11.7420,1.7420,-11.3801,-11.2592,-40.8692,0,nan,passband insertion loss/ripple is not acceptable; peak is high; lengthen resonators; low passband edge is weak; increase coupling
tx_band1_mcfil_r12_cnn015_rand06_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r12_cnn015_rand06_p2up_graphical_bb_14_23g\tx_band1_mcfil_r12_cnn015_rand06_hfss_trace.csv,TUNE,38.249,18.9000,-2.1013,-5.2593,-2.3961,-2.7036,-5.2593,-2.1013,3.1581,-9.2793,-9.6301,-9.2793,-9.6301,-9.2793,-0.7207,-8.8614,-9.2388,-40.9047,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r12_cnn045_rand36_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r12_cnn045_rand36_p2up_graphical_bb_14_23g\tx_band1_mcfil_r12_cnn045_rand36_hfss_trace.csv,TUNE,27.643,18.8500,-2.1838,-5.2560,-2.3973,-2.8015,-5.2560,-2.1838,3.0721,-8.8939,-8.6214,-8.8939,-8.6214,-8.6214,-1.3786,-8.5628,-8.3011,-40.8534,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r13_cnn037_rand28_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r13_cnn037_rand28_p2up_graphical_bb_14_23g\tx_band1_mcfil_r13_cnn037_rand28_hfss_trace.csv,TUNE,29.103,19.0000,-2.1354,-5.5419,-2.4786,-2.3973,-5.5419,-2.1354,3.4065,-10.5023,-11.3371,-11.5601,-11.3371,-11.3371,1.3371,-11.1755,-10.9924,-42.2539,0,nan,passband insertion loss/ripple is not acceptable; peak is high; lengthen resonators; low passband edge is weak; increase coupling
tx_band1_mcfil_r13_cnn028_rand19_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r13_cnn028_rand19_p2up_graphical_bb_14_23g\tx_band1_mcfil_r13_cnn028_rand19_hfss_trace.csv,TUNE,41.758,19.0000,-2.2463,-5.2857,-2.4819,-2.5461,-5.2857,-2.2463,3.0394,-10.4536,-10.2336,-10.4536,-10.2336,-10.2336,0.2336,-10.1296,-9.9939,-42.3884,0,nan,passband insertion loss/ripple is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r13_cnn032_rand23_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r13_cnn032_rand23_p2up_graphical_bb_14_23g\tx_band1_mcfil_r13_cnn032_rand23_hfss_trace.csv,TUNE,26.885,19.1000,-2.2755,-5.5845,-2.5987,-2.4399,-5.5845,-2.2755,3.3090,-10.1227,-11.2600,-11.3249,-11.2600,-11.2600,1.2600,-11.0842,-11.0194,-42.9901,0,nan,passband insertion loss/ripple is not acceptable; peak is high; lengthen resonators; low passband edge is weak; increase coupling
tx_band1_mcfil_r14_cnn022_rand16_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r14_cnn022_rand16_p2up_graphical_bb_14_23g\tx_band1_mcfil_r14_cnn022_rand16_hfss_trace.csv,TUNE,46.438,19.0500,-2.2246,-5.1441,-2.5147,-2.4382,-5.1441,-2.2246,2.9195,-11.3937,-11.4277,-11.3937,-11.4277,-11.3937,1.3937,-11.0367,-11.2090,-42.5820,0,nan,passband insertion loss/ripple is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r14_cnn004_center_gap_relax_keep_len_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r14_cnn004_center_gap_relax_keep_len_p2up_graphical_bb_14_23g\tx_band1_mcfil_r14_cnn004_center_gap_relax_keep_len_hfss_trace.csv,TUNE,33.436,18.9500,-2.2850,-5.4957,-2.5167,-2.6628,-5.4957,-2.2850,3.2107,-9.9210,-9.9772,-9.9210,-9.9772,-9.9210,-0.0790,-9.5839,-9.7245,-42.4580,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r14_cnn043_rand37_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r14_cnn043_rand37_p2up_graphical_bb_14_23g\tx_band1_mcfil_r14_cnn043_rand37_hfss_trace.csv,TUNE,46.625,18.9500,-2.4641,-5.1159,-2.5645,-2.7711,-5.1159,-2.4641,2.6518,-9.2879,-9.4101,-9.2879,-9.4101,-9.2879,-0.7121,-9.0343,-9.2862,-42.7802,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r15_cnn021_rand12_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r15_cnn021_rand12_p2up_graphical_bb_14_23g\tx_band1_mcfil_r15_cnn021_rand12_hfss_trace.csv,TUNE,2.151,19.1500,-2.8337,-5.5645,-2.9555,-2.9190,-5.5645,-2.8337,2.7308,-8.4783,-7.5838,-8.4783,-7.5838,-7.5838,-2.4162,-9.0071,-8.6302,-44.0851,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r15_cnn010_rand01_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r15_cnn010_rand01_p2up_graphical_bb_14_23g\tx_band1_mcfil_r15_cnn010_rand01_hfss_trace.csv,TUNE,-8.002,19.2000,-2.6344,-5.9549,-2.9342,-2.6862,-5.9549,-2.6344,3.3206,-8.8035,-7.2569,-9.2551,-8.2290,-8.2290,-1.7710,-10.6776,-9.4438,-44.5887,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators; low passband edge is weak; increase coupling
tx_band1_mcfil_r15_cnn049_rand40_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r15_cnn049_rand40_p2up_graphical_bb_14_23g\tx_band1_mcfil_r15_cnn049_rand40_hfss_trace.csv,TUNE,34.819,19.1500,-2.3752,-5.3992,-2.7588,-2.4834,-5.3992,-2.3752,3.0241,-9.5932,-9.5603,-10.5174,-9.6538,-9.6538,-0.3462,-11.8644,-10.8382,-43.8119,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r16_cnn047_rand38_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r16_cnn047_rand38_p2up_graphical_bb_14_23g\tx_band1_mcfil_r16_cnn047_rand38_hfss_trace.csv,TUNE,11.265,19.1000,-2.7486,-5.4761,-2.8969,-2.9442,-5.4761,-2.7486,2.7274,-8.1334,-7.5206,-8.9534,-8.0041,-8.0041,-1.9959,-9.3128,-8.6106,-44.0506,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r16_cnn044_rand35_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r16_cnn044_rand35_p2up_graphical_bb_14_23g\tx_band1_mcfil_r16_cnn044_rand35_hfss_trace.csv,TUNE,15.087,18.4500,-2.8026,-5.1603,-2.8123,-3.2138,-5.1603,-2.8026,2.3577,-8.0384,-7.3571,-8.0384,-7.7793,-7.7793,-2.2207,-7.8461,-7.8864,-43.3593,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable
tx_band1_mcfil_r16_cnn023_rand14_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r16_cnn023_rand14_p2up_graphical_bb_14_23g\tx_band1_mcfil_r16_cnn023_rand14_hfss_trace.csv,TUNE,44.976,19.0500,-2.6845,-4.8469,-2.7486,-2.9100,-4.8469,-2.6845,2.1624,-8.7048,-8.6784,-8.7048,-8.6784,-8.6784,-1.3216,-8.5197,-8.9358,-42.7232,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r17_cnn045_rand36_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r17_cnn045_rand36_p2up_graphical_bb_14_23g\tx_band1_mcfil_r17_cnn045_rand36_hfss_trace.csv,TUNE,29.201,19.2000,-2.4907,-5.4208,-2.8456,-2.5606,-5.4208,-2.4907,2.9301,-9.4143,-8.7962,-9.4176,-8.8248,-8.8248,-1.1752,-10.9437,-10.7416,-43.9715,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r17_cnn026_rand17_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r17_cnn026_rand17_p2up_graphical_bb_14_23g\tx_band1_mcfil_r17_cnn026_rand17_hfss_trace.csv,TUNE,16.939,19.1500,-2.7904,-5.4227,-2.9252,-2.9284,-5.4227,-2.7904,2.6323,-8.7706,-7.9284,-8.7706,-7.9284,-7.9284,-2.0716,-8.9904,-9.0663,-43.8893,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r17_cnn047_rand38_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r17_cnn047_rand38_p2up_graphical_bb_14_23g\tx_band1_mcfil_r17_cnn047_rand38_hfss_trace.csv,TUNE,12.977,19.1000,-2.9110,-4.8447,-2.9797,-3.1404,-4.8447,-2.9110,1.9336,-7.8667,-7.3174,-7.8715,-7.3174,-7.3174,-2.6826,-8.0596,-8.1170,-43.2314,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r22_cnn016_rand07_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r22_cnn016_rand07_p2up_graphical_bb_14_23g\tx_band1_mcfil_r22_cnn016_rand07_hfss_trace.csv,TUNE,43.240,19.1500,-2.5157,-5.1368,-2.7461,-2.6650,-5.1368,-2.5157,2.6211,-9.1669,-8.9663,-9.8114,-8.9663,-8.9663,-1.0337,-10.0057,-10.0503,-43.5830,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r22_cnn024_rand15_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r22_cnn024_rand15_p2up_graphical_bb_14_23g\tx_band1_mcfil_r22_cnn024_rand15_hfss_trace.csv,TUNE,44.590,19.1500,-2.4063,-5.1651,-2.7506,-2.5442,-5.1651,-2.4063,2.7588,-10.0869,-9.4604,-10.4581,-9.4677,-9.4677,-0.5323,-10.9370,-10.8433,-43.5187,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r22_cnn047_rand38_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r22_cnn047_rand38_p2up_graphical_bb_14_23g\tx_band1_mcfil_r22_cnn047_rand38_hfss_trace.csv,TUNE,11.355,19.1500,-2.7932,-5.1947,-3.0547,-2.9149,-5.1947,-2.7932,2.4016,-7.9881,-7.3887,-8.0271,-7.3887,-7.3887,-2.6113,-9.1422,-9.3404,-43.9215,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r23_cnn044_rand35_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r23_cnn044_rand35_p2up_graphical_bb_14_23g\tx_band1_mcfil_r23_cnn044_rand35_hfss_trace.csv,TUNE,27.905,19.1500,-2.5858,-5.4470,-2.8692,-2.7088,-5.4470,-2.5858,2.8612,-9.6104,-8.5683,-9.6104,-8.5683,-8.5683,-1.4317,-10.2850,-9.4169,-43.9344,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r23_cnn042_rand33_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r23_cnn042_rand33_p2up_graphical_bb_14_23g\tx_band1_mcfil_r23_cnn042_rand33_hfss_trace.csv,TUNE,50.278,19.1500,-2.3251,-5.0103,-2.6728,-2.4285,-5.0103,-2.3251,2.6852,-9.7007,-9.5191,-10.4447,-9.8966,-9.8966,-0.1034,-11.5859,-11.5489,-43.1993,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r27_cnn046_rand37_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r27_cnn046_rand37_p2up_graphical_bb_14_23g\tx_band1_mcfil_r27_cnn046_rand37_hfss_trace.csv,TUNE,-17.250,19.2000,-2.6953,-5.5986,-3.0589,-2.7839,-5.5986,-2.6953,2.9033,-7.0614,-6.6364,-7.7324,-7.5683,-7.5683,-2.4317,-10.2150,-9.9542,-44.5118,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; peak is high; lengthen resonators
