freq_ghz,s11_db,s21_db,s22_db,s33_db,s43_db,s44_db,worst_return_db,worst_isolation_db,near_end_isolation_db,far_end_isolation_db,diagonal_isolation_db,s31_db,s41_db,s32_db,s42_db,s13_db,s14_db,s23_db,s24_db
2.7,-20.6208,-0.61619,-21.3399,-19.8758,-0.33843,-19.2631,-19.2631,-44.2642,-44.2642,-59.5589,-60.7445,-44.2642,-61.8194,-60.7445,-59.5589,-44.2642,-61.8194,-60.7445,-59.5589
2.75,-20.2584,-0.629688,-20.9079,-19.9525,-0.342851,-19.3303,-19.3303,-50.7005,-50.7005,-60.7496,-59.8408,-50.7005,-62.4414,-59.8408,-60.7496,-50.7005,-62.4414,-59.8408,-60.7496
2.8,-19.9281,-0.642954,-20.5114,-20.0306,-0.347308,-19.4002,-19.4002,-52.9994,-52.9994,-64.6212,-58.3394,-52.9994,-64.1168,-58.3394,-64.6212,-52.9994,-64.1168,-58.3394,-64.6212
2.85,-19.6289,-0.655855,-20.1485,-20.1084,-0.351804,-19.4834,-19.4834,-54.1876,-54.1876,-60.6432,-56.3422,-54.1876,-68.2253,-56.3422,-60.6432,-54.1876,-68.2253,-56.3422,-60.6432
2.9,-19.3598,-0.668288,-19.8191,-20.1839,-0.356349,-19.5994,-19.3598,-54.9013,-54.9013,-57.6601,-57.3119,-54.9013,-59.3101,-57.3119,-57.6601,-54.9013,-59.3101,-57.3119,-57.6601
2.95,-19.1197,-0.680195,-19.524,-20.2553,-0.36096,-19.6866,-19.1197,-55.3657,-55.3657,-56.8798,-59.2556,-55.3657,-59.2556,-59.6284,-56.8798,-55.3657,-59.2556,-59.6284,-56.8798
3,-18.9074,-0.691576,-19.2634,-20.3222,-0.365664,-19.7715,-18.9074,-55.6807,-55.6807,-56.5215,-59.6033,-55.6807,-59.6033,-60.5557,-56.5215,-55.6807,-59.6033,-60.5557,-56.5215
3.05,-18.7222,-0.702469,-19.0364,-20.3871,-0.370502,-19.8609,-18.7222,-55.8971,-55.8971,-56.2655,-59.8496,-55.8971,-59.8496,-60.781,-56.2655,-55.8971,-59.8496,-60.781,-56.2655
3.1,-18.5629,-0.712936,-18.8415,-20.4555,-0.375515,-19.954,-18.5629,-56.041,-56.0435,-56.041,-60.027,-56.0435,-60.027,-60.7517,-56.041,-56.0435,-60.027,-60.7517,-56.041
3.15,-18.4289,-0.723039,-18.6767,-20.5314,-0.380647,-20.0499,-18.4289,-55.8284,-56.1372,-55.8284,-60.1643,-56.1372,-60.1643,-60.6275,-55.8284,-56.1372,-60.1643,-60.6275,-55.8284
3.2,-18.3191,-0.73283,-18.5404,-20.6151,-0.384989,-20.1481,-18.3191,-55.6216,-56.1894,-55.6216,-60.277,-56.1894,-60.277,-60.4666,-55.6216,-56.1894,-60.277,-60.4666,-55.6216
3.25,-18.2329,-0.742344,-18.4311,-20.7035,-0.383108,-20.248,-18.2329,-55.4193,-56.2074,-55.4193,-60.293,-56.2074,-60.3739,-60.293,-55.4193,-56.2074,-60.3739,-60.293,-55.4193
3.3,-18.1693,-0.751601,-18.3477,-20.7931,-0.375313,-20.3491,-18.1693,-55.2215,-56.1969,-55.2215,-60.1176,-56.1969,-60.46,-60.1176,-55.2215,-56.1969,-60.46,-60.1176,-55.2215
3.35,-18.1277,-0.760611,-18.2893,-20.8811,-0.379473,-20.4509,-18.1277,-55.029,-56.1617,-55.029,-59.9463,-56.1617,-60.5383,-59.9463,-55.029,-56.1617,-60.5383,-59.9463,-55.029
3.4,-18.1072,-0.769378,-18.2551,-20.9654,-0.386348,-20.5529,-18.1072,-54.8427,-56.1052,-54.8427,-59.7825,-56.1052,-60.6108,-59.7825,-54.8427,-56.1052,-60.6108,-59.7825,-54.8427
3.45,-18.1071,-0.777904,-18.2446,-21.0448,-0.392437,-20.6546,-18.1071,-54.6638,-56.03,-54.6638,-59.6287,-56.03,-60.6788,-59.6287,-54.6638,-56.03,-60.6788,-59.6287,-54.6638
3.5,-18.1266,-0.786193,-18.2573,-21.1181,-0.397855,-20.7553,-18.1266,-54.4936,-55.9382,-54.4936,-59.4869,-55.9382,-60.7428,-59.4869,-54.4936,-55.9382,-60.7428,-59.4869,-54.4936
3.55,-18.1649,-0.79425,-18.293,-21.1846,-0.402874,-20.8545,-18.1649,-54.3333,-55.8318,-54.3333,-59.3586,-55.8318,-60.8037,-59.3586,-54.3333,-55.8318,-60.8037,-59.3586,-54.3333
3.6,-18.2212,-0.802084,-18.3513,-21.2435,-0.407661,-20.9516,-18.2212,-54.1844,-55.7128,-54.1844,-59.2455,-55.7128,-60.8616,-59.2455,-54.1844,-55.7128,-60.8616,-59.2455,-54.1844
3.65,-18.2946,-0.809711,-18.4322,-21.2941,-0.412313,-21.0459,-18.2946,-54.0482,-55.5826,-54.0482,-59.1487,-55.5826,-60.9168,-59.1487,-54.0482,-55.5826,-60.9168,-59.1487,-54.0482
3.7,-18.3843,-0.817148,-18.5354,-21.3357,-0.416892,-21.1367,-18.3843,-53.9261,-55.443,-53.9261,-59.0696,-55.443,-60.9696,-59.0696,-53.9261,-55.443,-60.9696,-59.0696,-53.9261
3.75,-18.4893,-0.824419,-18.661,-21.3678,-0.421438,-21.2232,-18.4893,-53.8196,-55.2954,-53.8196,-59.009,-55.2954,-61.0201,-59.009,-53.8196,-55.2954,-61.0201,-59.009,-53.8196
3.8,-18.6084,-0.831552,-18.8087,-21.3898,-0.425979,-21.3047,-18.6084,-53.7299,-55.1417,-53.7299,-58.9678,-55.1417,-61.0685,-58.9678,-53.7299,-55.1417,-61.0685,-58.9678,-53.7299
3.85,-18.7404,-0.838578,-18.9785,-21.4012,-0.430538,-21.3805,-18.7404,-53.6584,-54.9832,-53.6584,-58.9464,-54.9832,-61.1151,-58.9464,-53.6584,-54.9832,-61.1151,-58.9464,-53.6584
3.9,-18.884,-0.845531,-19.1702,-21.4017,-0.43513,-21.4497,-18.884,-53.6064,-54.8217,-53.6064,-58.9448,-54.8217,-61.16,-58.9448,-53.6064,-54.8217,-61.16,-58.9448,-53.6064
3.95,-19.0374,-0.852451,-19.3834,-21.3908,-0.439772,-21.5116,-19.0374,-53.5748,-54.659,-53.5748,-58.963,-54.659,-61.2036,-58.963,-53.5748,-54.659,-61.2036,-58.963,-53.5748
4,-19.1985,-0.859376,-19.6176,-21.3684,-0.444475,-21.5653,-19.1985,-53.5647,-54.4966,-53.5647,-59.0004,-54.4966,-61.2463,-59.0004,-53.5647,-54.4966,-61.2463,-59.0004,-53.5647
4.05,-19.365,-0.866349,-19.872,-21.3343,-0.44925,-21.6102,-19.365,-53.5768,-54.3366,-53.5768,-59.0558,-54.3366,-61.2885,-59.0558,-53.5768,-54.3366,-61.2885,-59.0558,-53.5768
4.1,-19.534,-0.873412,-20.1452,-21.2885,-0.454106,-21.6454,-19.534,-53.6116,-54.1808,-53.6116,-59.1278,-54.1808,-61.331,-59.1278,-53.6116,-54.1808,-61.331,-59.1278,-53.6116
4.15,-19.7019,-0.880608,-20.4354,-21.2311,-0.459053,-21.6704,-19.7019,-53.6692,-54.0311,-53.6692,-59.2147,-54.0311,-61.3745,-59.2147,-53.6692,-54.0311,-61.3745,-59.2147,-53.6692
4.2,-19.8647,-0.88798,-20.7398,-21.1623,-0.464098,-21.6844,-19.8647,-53.7496,-53.8895,-53.7496,-59.3141,-53.8895,-61.4203,-59.3141,-53.7496,-53.8895,-61.4203,-59.3141,-53.7496
4.25,-20.0178,-0.89557,-21.0548,-21.0824,-0.469248,-21.687,-20.0178,-53.7578,-53.7578,-53.8524,-59.4234,-53.7578,-61.4697,-59.4234,-53.8524,-53.7578,-61.4697,-59.4234,-53.8524
4.3,-20.1558,-0.903417,-21.375,-20.9917,-0.474509,-21.6778,-20.1558,-53.638,-53.638,-53.9768,-59.5396,-53.638,-61.5245,-59.5396,-53.9768,-53.638,-61.5245,-59.5396,-53.9768
4.35,-20.2732,-0.91156,-21.6938,-20.8907,-0.479887,-21.6564,-20.2732,-53.5318,-53.5318,-54.1217,-59.6592,-53.5318,-61.5871,-59.6592,-54.1217,-53.5318,-61.5871,-59.6592,-54.1217
4.4,-20.3641,-0.920033,-22.0023,-20.7798,-0.485387,-21.6226,-20.3641,-53.4407,-53.4407,-54.2855,-59.7786,-53.4407,-61.6601,-59.7786,-54.2855,-53.4407,-61.6601,-59.7786,-54.2855
4.45,-20.423,-0.928866,-22.29,-20.6598,-0.491014,-21.5763,-20.423,-53.3663,-53.3663,-54.4663,-59.894,-53.3663,-61.746,-59.894,-54.4663,-53.3663,-61.746,-59.894,-54.4663
4.5,-20.4449,-0.938088,-22.5443,-20.5312,-0.49677,-21.5176,-20.4449,-53.3095,-53.3095,-54.6617,-60.0011,-53.3095,-61.8459,-60.0011,-54.6617,-53.3095,-61.8459,-60.0011,-54.6617
4.55,-20.4261,-0.947719,-22.7515,-20.3946,-0.50266,-21.4466,-20.3946,-53.2712,-53.2712,-54.8691,-60.0957,-53.2712,-61.9549,-60.0957,-54.8691,-53.2712,-61.9549,-60.0957,-54.8691
4.6,-20.3645,-0.957779,-22.8981,-20.2509,-0.508684,-21.3636,-20.2509,-53.2519,-53.2519,-55.0853,-60.1737,-53.2519,-62.0533,-60.1737,-55.0853,-53.2519,-62.0533,-60.1737,-55.0853
4.65,-20.2596,-0.968277,-22.9722,-20.1006,-0.514846,-21.269,-20.1006,-53.2518,-53.2518,-55.3067,-60.2309,-53.2518,-62.0907,-60.2309,-55.3067,-53.2518,-62.0907,-60.2309,-55.3067
4.7,-20.113,-0.979221,-22.9659,-19.9445,-0.521145,-21.1634,-19.9445,-53.2706,-53.2706,-55.5292,-60.2635,-53.2706,-61.9853,-60.2635,-55.5292,-53.2706,-61.9853,-60.2635,-55.5292
4.75,-19.9281,-0.990611,-22.8761,-19.7832,-0.527582,-21.0472,-19.7832,-53.3078,-53.3078,-55.7484,-60.2682,-53.3078,-61.6836,-60.2682,-55.7484,-53.3078,-61.6836,-60.2682,-55.7484
4.8,-19.7096,-1.00244,-22.7057,-19.6176,-0.534156,-20.9213,-19.6176,-53.3625,-53.3625,-55.9595,-60.2421,-53.3625,-61.2546,-60.2421,-55.9595,-53.3625,-61.2546,-60.2421,-55.9595
4.85,-19.4632,-1.0147,-22.4627,-19.4482,-0.540867,-20.7862,-19.4482,-53.4338,-53.4338,-56.1573,-60.1832,-53.4338,-60.842,-60.1832,-56.1573,-53.4338,-60.842,-60.1832,-56.1573
4.9,-19.1947,-1.02736,-22.1588,-19.2758,-0.547712,-20.6429,-19.1947,-53.5203,-53.5203,-56.3364,-60.0904,-53.5203,-60.5274,-60.0904,-56.3364,-53.5203,-60.5274,-60.0904,-56.3364
4.95,-18.9103,-1.04042,-21.8078,-19.1008,-0.554689,-20.492,-18.9103,-53.6208,-53.6208,-56.4916,-59.9634,-53.6208,-60.31,-59.9634,-56.4916,-53.6208,-60.31,-59.9634,-56.4916
5,-18.6158,-1.05383,-21.4233,-18.924,-0.561794,-20.3344,-18.6158,-53.7336,-53.7336,-56.6178,-59.8028,-53.7336,-60.1595,-59.8028,-56.6178,-53.7336,-60.1595,-59.8028,-56.6178
5.05,-18.3161,-1.06756,-21.018,-18.746,-0.569024,-20.171,-18.3161,-53.8572,-53.8572,-56.7102,-59.6103,-53.8572,-60.0482,-59.6103,-56.7102,-53.8572,-60.0482,-59.6103,-56.7102
5.1,-18.0159,-1.08158,-20.6028,-18.5672,-0.576374,-20.0026,-18.0159,-53.9903,-53.9903,-56.7651,-59.388,-53.9903,-59.9577,-59.388,-56.7651,-53.9903,-59.9577,-59.388,-56.7651
5.15,-17.7188,-1.09583,-20.1866,-18.3882,-0.583839,-19.8299,-17.7188,-54.1314,-54.1314,-56.7795,-59.1389,-54.1314,-59.877,-59.1389,-56.7795,-54.1314,-59.877,-59.1389,-56.7795
5.2,-17.428,-1.11028,-19.7762,-18.2094,-0.591412,-19.6537,-17.428,-54.2791,-54.2791,-56.752,-58.8663,-54.2791,-59.7998,-58.8663,-56.752,-54.2791,-59.7998,-58.8663,-56.752
5.25,-17.1459,-1.12487,-19.377,-18.0314,-0.599088,-19.4749,-17.1459,-54.432,-54.432,-56.6821,-58.574,-54.432,-59.7224,-58.574,-56.6821,-54.432,-59.7224,-58.574,-56.6821
5.3,-16.8746,-1.13954,-18.9928,-17.8545,-0.606859,-19.294,-16.8746,-54.5891,-54.5891,-56.5709,-58.2657,-54.5891,-59.6428,-58.2657,-56.5709,-54.5891,-59.6428,-58.2657,-56.5709
5.35,-16.6156,-1.15425,-18.6263,-17.6792,-0.614717,-19.1118,-16.6156,-54.7491,-54.7491,-56.4205,-57.9453,-54.7491,-59.5598,-57.9453,-56.4205,-54.7491,-59.5598,-57.9453,-56.4205
5.4,-16.37,-1.16894,-18.2794,-17.5057,-0.622656,-18.9289,-16.37,-54.9112,-54.9112,-56.2339,-57.6166,-54.9112,-59.4727,-57.6166,-56.2339,-54.9112,-59.4727,-57.6166,-56.2339
5.45,-16.1387,-1.18355,-17.9535,-17.3346,-0.630665,-18.7459,-16.1387,-55.0743,-55.0743,-56.0149,-57.2834,-55.0743,-59.381,-57.2834,-56.0149,-55.0743,-59.381,-57.2834,-56.0149
5.5,-15.9224,-1.19802,-17.6493,-17.166,-0.638735,-18.5634,-15.9224,-55.2376,-55.2376,-55.7675,-56.9489,-55.2376,-59.2847,-56.9489,-55.7675,-55.2376,-59.2847,-56.9489,-55.7675
5.55,-15.7216,-1.2123,-17.3672,-17.0003,-0.646858,-18.3819,-15.7216,-55.4002,-55.4002,-55.4958,-56.6167,-55.4002,-59.1834,-56.6167,-55.4958,-55.4002,-59.1834,-56.6167,-55.4958
5.6,-15.5366,-1.22634,-17.1076,-16.8378,-0.655024,-18.202,-15.5366,-55.2038,-55.5614,-55.2038,-56.2897,-55.5614,-59.0773,-56.2897,-55.2038,-55.5614,-59.0773,-56.2897,-55.2038
5.65,-15.3675,-1.24009,-16.8705,-16.6788,-0.663222,-18.0239,-15.3675,-54.8954,-55.7202,-54.8954,-55.9706,-55.7202,-58.9662,-55.9706,-54.8954,-55.7202,-58.9662,-55.9706,-54.8954
5.7,-15.2146,-1.2535,-16.6558,-16.5235,-0.671442,-17.8483,-15.2146,-54.5739,-55.8758,-54.5739,-55.662,-55.8758,-58.8502,-55.662,-54.5739,-55.8758,-58.8502,-55.662,-54.5739
5.75,-15.0779,-1.26652,-16.4635,-16.372,-0.679675,-17.6755,-15.0779,-54.2425,-56.0275,-54.2425,-55.366,-56.0275,-58.7294,-55.366,-54.2425,-56.0275,-58.7294,-55.366,-54.2425
5.8,-14.9574,-1.27912,-16.2933,-16.2248,-0.687908,-17.5059,-14.9574,-53.9041,-56.1743,-53.9041,-55.0846,-56.1743,-58.6036,-55.0846,-53.9041,-56.1743,-58.6036,-55.0846,-53.9041
5.85,-14.8531,-1.29126,-16.1451,-16.0819,-0.696134,-17.3399,-14.8531,-53.5615,-56.3155,-53.5615,-54.8191,-56.3155,-58.4732,-54.8191,-53.5615,-56.3155,-58.4732,-54.8191,-53.5615
5.9,-14.7648,-1.30292,-16.0187,-15.9435,-0.704341,-17.1777,-14.7648,-53.2175,-56.4504,-53.2175,-54.5707,-56.4504,-58.338,-54.5707,-53.2175,-56.4504,-58.338,-54.5707,-53.2175
5.95,-14.6923,-1.31407,-15.9139,-15.8099,-0.712521,-17.0197,-14.6923,-52.8758,-56.579,-52.8758,-54.3403,-56.579,-58.1983,-54.3403,-52.8758,-56.579,-58.1983,-54.3403,-52.8758
6,-14.6356,-1.3247,-15.8306,-15.6812,-0.720667,-16.8661,-14.6356,-52.5408,-56.702,-52.5408,-54.1281,-56.702,-58.0542,-54.1281,-52.5408,-56.702,-58.0542,-54.1281,-52.5408
6.05,-14.5943,-1.3348,-15.7687,-15.5576,-0.728773,-16.7173,-14.5943,-52.2189,-56.8215,-52.2189,-53.9343,-56.8215,-57.9058,-53.9343,-52.2189,-56.8215,-57.9058,-53.9343,-52.2189
6.1,-14.568,-1.34437,-15.728,-15.4392,-0.736837,-16.5736,-14.568,-51.9176,-56.9421,-51.9176,-53.7585,-56.9421,-57.7534,-53.7585,-51.9176,-56.9421,-57.7534,-53.7585,-51.9176
6.15,-14.5565,-1.35342,-15.7083,-15.3262,-0.744861,-16.4351,-14.5565,-51.6446,-57.07,-51.6446,-53.6002,-57.07,-57.597,-53.6002,-51.6446,-57.07,-57.597,-53.6002,-51.6446
6.2,-14.5593,-1.36195,-15.7096,-15.2188,-0.752855,-16.3022,-14.5593,-51.4042,-57.2105,-51.4042,-53.4584,-57.2105,-57.4371,-53.4584,-51.4042,-57.2105,-57.4371,-53.4584,-51.4042
6.25,-14.5757,-1.37,-15.7317,-15.1171,-0.760838,-16.175,-14.5757,-51.1944,-57.3574,-51.1944,-53.3321,-57.3574,-57.2738,-53.3321,-51.1944,-57.3574,-57.2738,-53.3321,-51.1944
6.3,-14.6053,-1.3776,-15.7745,-15.0213,-0.768846,-16.0538,-14.6053,-51.0065,-57.4799,-51.0065,-53.22,-57.4799,-57.1075,-53.22,-51.0065,-57.4799,-57.1075,-53.22,-51.0065
6.35,-14.6474,-1.38477,-15.8379,-14.9315,-0.776925,-15.9391,-14.6474,-50.8299,-57.5266,-50.8299,-53.1207,-57.5266,-56.9386,-53.1207,-50.8299,-57.5266,-56.9386,-53.1207,-50.8299
