"OldPath","NewPath","Category"
"ADS\fr4_stub_bpf_l3_25db_n6_round10","projects\bfp_6_8g_i7_fr4\layouts\fr4_stub_bpf_l3_25db_n6_round10","layout_dir"
"ADS\fr4_stub_bpf_l3_25db_n6_round11","projects\bfp_6_8g_i7_fr4\layouts\fr4_stub_bpf_l3_25db_n6_round11","layout_dir"
"ADS\fr4_stub_bpf_l3_25db_n6_round2","projects\bfp_6_8g_i7_fr4\layouts\fr4_stub_bpf_l3_25db_n6_round2","layout_dir"
"ADS\fr4_stub_bpf_l3_25db_n6_round3","projects\bfp_6_8g_i7_fr4\layouts\fr4_stub_bpf_l3_25db_n6_round3","layout_dir"
"ADS\fr4_stub_bpf_l3_25db_n6_round4","projects\bfp_6_8g_i7_fr4\layouts\fr4_stub_bpf_l3_25db_n6_round4","layout_dir"
"ADS\fr4_stub_bpf_l3_25db_n6_round5","projects\bfp_6_8g_i7_fr4\layouts\fr4_stub_bpf_l3_25db_n6_round5","layout_dir"
"ADS\fr4_stub_bpf_l3_25db_n6_round6","projects\bfp_6_8g_i7_fr4\layouts\fr4_stub_bpf_l3_25db_n6_round6","layout_dir"
"ADS\fr4_stub_bpf_l3_25db_n6_round7","projects\bfp_6_8g_i7_fr4\layouts\fr4_stub_bpf_l3_25db_n6_round7","layout_dir"
"ADS\fr4_stub_bpf_l3_25db_n6_round8","projects\bfp_6_8g_i7_fr4\layouts\fr4_stub_bpf_l3_25db_n6_round8","layout_dir"
"ADS\fr4_stub_bpf_l3_25db_n6_round9","projects\bfp_6_8g_i7_fr4\layouts\fr4_stub_bpf_l3_25db_n6_round9","layout_dir"
"ADS\fr4_stub_bpf_l3_25db_round1","projects\bfp_6_8g_i7_fr4\layouts\fr4_stub_bpf_l3_25db_round1","layout_dir"
"ADS\fr4_stub_bpf_l3_high_edge_round1","projects\bfp_6_8g_i7_fr4\layouts\fr4_stub_bpf_l3_high_edge_round1","layout_dir"
"ADS\hilo_sir_bpf_l3_round0","projects\bfp_6_8g_i7_fr4\layouts\hilo_sir_bpf_l3_round0","layout_dir"
"ADS\hilo_sir_bpf_l3_round1","projects\bfp_6_8g_i7_fr4\layouts\hilo_sir_bpf_l3_round1","layout_dir"
"ADS\hilo_sir_bpf_l3_round2","projects\bfp_6_8g_i7_fr4\layouts\hilo_sir_bpf_l3_round2","layout_dir"
"ADS\hilo_sir_bpf_l3_round3","projects\bfp_6_8g_i7_fr4\layouts\hilo_sir_bpf_l3_round3","layout_dir"
"ADS\interdigital_7o_fr4_210um_round0","projects\bfp_6_8g_i7_fr4\layouts\interdigital_7o_fr4_210um_round0","layout_dir"
"ADS\interdigital_7o_fr4_210um_round1","projects\bfp_6_8g_i7_fr4\layouts\interdigital_7o_fr4_210um_round1","layout_dir"
"ADS\interdigital_7o_fr4_210um_round2","projects\bfp_6_8g_i7_fr4\layouts\interdigital_7o_fr4_210um_round2","layout_dir"
"ADS\interdigital_7o_fr4_210um_round3","projects\bfp_6_8g_i7_fr4\layouts\interdigital_7o_fr4_210um_round3","layout_dir"
"ADS\interdigital_7o_fr4_210um_round4","projects\bfp_6_8g_i7_fr4\layouts\interdigital_7o_fr4_210um_round4","layout_dir"
"ADS\interdigital_7o_fr4_210um_round5","projects\bfp_6_8g_i7_fr4\layouts\interdigital_7o_fr4_210um_round5","layout_dir"
"ADS\interdigital_7o_fr4_210um_round6","projects\bfp_6_8g_i7_fr4\layouts\interdigital_7o_fr4_210um_round6","layout_dir"
"ADS\interdigital_7o_fr4_210um_round7","projects\bfp_6_8g_i7_fr4\layouts\interdigital_7o_fr4_210um_round7","layout_dir"
"ADS\opt_round1","projects\bfp_6_8g_i7_fr4\layouts\opt_round1","layout_dir"
"ADS\opt_round2","projects\bfp_6_8g_i7_fr4\layouts\opt_round2","layout_dir"
"ADS\opt_round2b","projects\bfp_6_8g_i7_fr4\layouts\opt_round2b","layout_dir"
"ADS\opt_round3","projects\bfp_6_8g_i7_fr4\layouts\opt_round3","layout_dir"
"ADS\opt_round3_l600","projects\bfp_6_8g_i7_fr4\layouts\opt_round3_l600","layout_dir"
"ADS\paper_mixed_sir_bpf_ro4350_round0","projects\bfp_6_8g_i7_fr4\layouts\paper_mixed_sir_bpf_ro4350_round0","layout_dir"
"ADS\paper_mixed_sir_bpf_ro4350_round1","projects\bfp_6_8g_i7_fr4\layouts\paper_mixed_sir_bpf_ro4350_round1","layout_dir"
"ADS\reference_interdigital_9o_ro4350b_508um","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um","layout_dir"
"ADS\sweep","projects\bfp_6_8g_i7_fr4\layouts\sweep","layout_dir"
"ADS\interdigital_9o_ro4350b_508um.dxf","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um.dxf","layout_file"
"ADS\interdigital_9o_ro4350b_508um.svg","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um.svg","layout_file"
"ADS\interdigital_9o_ro4350b_508um_ads_mil_coords.dxf","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_ads_mil_coords.dxf","layout_file"
"ADS\interdigital_9o_ro4350b_508um_ads_vars.txt","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_ads_vars.txt","layout_file"
"ADS\interdigital_9o_ro4350b_508um_dimension_check.txt","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_dimension_check.txt","layout_file"
"ADS\interdigital_9o_ro4350b_508um_drc.txt","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_drc.txt","layout_file"
"ADS\interdigital_9o_ro4350b_508um_mm_coords.dxf","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_mm_coords.dxf","layout_file"
"ADS\interdigital_9o_ro4350b_508um_params.json","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_params.json","layout_file"
"ADS\interdigital_9o_ro4350b_508um_tuning_table.csv","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_tuning_table.csv","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v2_tuned.dxf","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v2_tuned.dxf","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v2_tuned.svg","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v2_tuned.svg","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v2_tuned_ads_mil_coords.dxf","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v2_tuned_ads_mil_coords.dxf","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v2_tuned_ads_vars.txt","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v2_tuned_ads_vars.txt","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v2_tuned_dimension_check.txt","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v2_tuned_dimension_check.txt","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v2_tuned_drc.txt","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v2_tuned_drc.txt","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v2_tuned_mm_coords.dxf","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v2_tuned_mm_coords.dxf","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v2_tuned_params.json","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v2_tuned_params.json","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v2_tuned_tuning_table.csv","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v2_tuned_tuning_table.csv","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v3_wide.dxf","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v3_wide.dxf","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v3_wide.svg","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v3_wide.svg","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v3_wide_ads_mil_coords.dxf","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v3_wide_ads_mil_coords.dxf","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v3_wide_ads_vars.txt","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v3_wide_ads_vars.txt","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v3_wide_dimension_check.txt","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v3_wide_dimension_check.txt","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v3_wide_drc.txt","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v3_wide_drc.txt","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v3_wide_mm_coords.dxf","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v3_wide_mm_coords.dxf","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v3_wide_params.json","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v3_wide_params.json","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v3_wide_tuning_table.csv","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v3_wide_tuning_table.csv","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v4_more_coupling.dxf","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v4_more_coupling.dxf","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v4_more_coupling.svg","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v4_more_coupling.svg","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v4_more_coupling_ads_mil_coords.dxf","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v4_more_coupling_ads_mil_coords.dxf","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v4_more_coupling_ads_vars.txt","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v4_more_coupling_ads_vars.txt","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v4_more_coupling_dimension_check.txt","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v4_more_coupling_dimension_check.txt","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v4_more_coupling_drc.txt","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v4_more_coupling_drc.txt","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v4_more_coupling_mm_coords.dxf","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v4_more_coupling_mm_coords.dxf","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v4_more_coupling_params.json","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v4_more_coupling_params.json","layout_file"
"ADS\interdigital_9o_ro4350b_508um_v4_more_coupling_tuning_table.csv","projects\bfp_6_8g_i7_fr4\layouts\reference_interdigital_9o_ro4350b_508um\interdigital_9o_ro4350b_508um_v4_more_coupling_tuning_table.csv","layout_file"
"6-8G_7O滤波器设计优化报告.html","projects\bfp_6_8g_i7_fr4\reports\legacy\6-8G_7O滤波器设计优化报告.html","legacy_report"
"6-8G_7O滤波器设计优化报告.pdf","projects\bfp_6_8g_i7_fr4\reports\legacy\6-8G_7O滤波器设计优化报告.pdf","legacy_report"
"6-8G_9O滤波器设计优化报告.html","projects\bfp_6_8g_i7_fr4\reports\legacy\6-8G_9O滤波器设计优化报告.html","legacy_report"
"6-8G_9O滤波器设计优化报告.pdf","projects\bfp_6_8g_i7_fr4\reports\legacy\6-8G_9O滤波器设计优化报告.pdf","legacy_report"
"6-8G滤波器设计优化报告.pdf","projects\bfp_6_8g_i7_fr4\reports\legacy\6-8G滤波器设计优化报告.pdf","legacy_report"
"filter_report_tmp.pdf","projects\bfp_6_8g_i7_fr4\reports\legacy\filter_report_tmp.pdf","legacy_report"
"页面预览_20260731_7O滤波器设计优化报告.png","projects\bfp_6_8g_i7_fr4\reports\legacy\页面预览_20260731_7O滤波器设计优化报告.png","legacy_report"
"页面预览_20260731_7O滤波器设计优化报告_6页.png","projects\bfp_6_8g_i7_fr4\reports\legacy\页面预览_20260731_7O滤波器设计优化报告_6页.png","legacy_report"
"页面预览_20260731_7O滤波器设计优化报告_7页.png","projects\bfp_6_8g_i7_fr4\reports\legacy\页面预览_20260731_7O滤波器设计优化报告_7页.png","legacy_report"
"页面预览_6-8G滤波器设计优化报告.png","projects\bfp_6_8g_i7_fr4\reports\legacy\页面预览_6-8G滤波器设计优化报告.png","legacy_report"
"ADS\filter_opt_i7_fr4_round2.csv","projects\bfp_6_8g_i7_fr4\plans\filter_opt_i7_fr4_round2.csv","plan"
"ADS\filter_opt_i7_fr4_round3.csv","projects\bfp_6_8g_i7_fr4\plans\filter_opt_i7_fr4_round3.csv","plan"
"ADS\filter_opt_i7_fr4_round4.csv","projects\bfp_6_8g_i7_fr4\plans\filter_opt_i7_fr4_round4.csv","plan"
"ADS\filter_opt_i7_fr4_round5.csv","projects\bfp_6_8g_i7_fr4\plans\filter_opt_i7_fr4_round5.csv","plan"
"ADS\filter_opt_i7_fr4_round6.csv","projects\bfp_6_8g_i7_fr4\plans\filter_opt_i7_fr4_round6.csv","plan"
"ADS\filter_opt_i7_fr4_round7.csv","projects\bfp_6_8g_i7_fr4\plans\filter_opt_i7_fr4_round7.csv","plan"
"ADS\filter_opt_round1.csv","projects\bfp_6_8g_i7_fr4\plans\filter_opt_round1.csv","plan"
"ADS\filter_opt_round2.csv","projects\bfp_6_8g_i7_fr4\plans\filter_opt_round2.csv","plan"
"ADS\filter_opt_round2b.csv","projects\bfp_6_8g_i7_fr4\plans\filter_opt_round2b.csv","plan"
"ADS\filter_opt_round3.csv","projects\bfp_6_8g_i7_fr4\plans\filter_opt_round3.csv","plan"
"ADS\filter_opt_round3_l600.csv","projects\bfp_6_8g_i7_fr4\plans\filter_opt_round3_l600.csv","plan"
"ADS\filter_sweep_plan.csv","projects\bfp_6_8g_i7_fr4\plans\filter_sweep_plan.csv","plan"
"ADS\folded_sir_bpf_l1_h512_round1.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_l1_h512_round1.csv","plan"
"ADS\folded_sir_bpf_l1_h512_round2.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_l1_h512_round2.csv","plan"
"ADS\folded_sir_bpf_l1_h512_round3.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_l1_h512_round3.csv","plan"
"ADS\folded_sir_bpf_l1_round1.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_l1_round1.csv","plan"
"ADS\folded_sir_bpf_l3_round0.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_l3_round0.csv","plan"
"ADS\folded_sir_bpf_l3_round1.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_l3_round1.csv","plan"
"ADS\folded_sir_bpf_l3_round2.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_l3_round2.csv","plan"
"ADS\folded_sir_bpf_l3_round3.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_l3_round3.csv","plan"
"ADS\folded_sir_bpf_l3_round4.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_l3_round4.csv","plan"
"ADS\folded_sir_bpf_l3_round5.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_l3_round5.csv","plan"
"ADS\folded_sir_bpf_ro4350_round0.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_ro4350_round0.csv","plan"
"ADS\folded_sir_bpf_ro4350_round1.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_ro4350_round1.csv","plan"
"ADS\folded_sir_bpf_ro4350_round2.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_ro4350_round2.csv","plan"
"ADS\folded_sir_bpf_ro4350_round3.csv","projects\bfp_6_8g_i7_fr4\plans\folded_sir_bpf_ro4350_round3.csv","plan"
"ADS\fr4_stub_bpf_l3_25db_round1.csv","projects\bfp_6_8g_i7_fr4\plans\fr4_stub_bpf_l3_25db_round1.csv","plan"
"ADS\fr4_stub_bpf_l3_baseline.csv","projects\bfp_6_8g_i7_fr4\plans\fr4_stub_bpf_l3_baseline.csv","plan"
"ADS\fr4_stub_bpf_l3_high_edge_round1.csv","projects\bfp_6_8g_i7_fr4\plans\fr4_stub_bpf_l3_high_edge_round1.csv","plan"
"ADS\fr4_stub_bpf_tune_round1.csv","projects\bfp_6_8g_i7_fr4\plans\fr4_stub_bpf_tune_round1.csv","plan"
"ADS\hilo_sir_bpf_l3_round0.csv","projects\bfp_6_8g_i7_fr4\plans\hilo_sir_bpf_l3_round0.csv","plan"
"ADS\hilo_sir_bpf_l3_round1.csv","projects\bfp_6_8g_i7_fr4\plans\hilo_sir_bpf_l3_round1.csv","plan"
"ADS\hilo_sir_bpf_l3_round2.csv","projects\bfp_6_8g_i7_fr4\plans\hilo_sir_bpf_l3_round2.csv","plan"
"ADS\hilo_sir_bpf_l3_round3.csv","projects\bfp_6_8g_i7_fr4\plans\hilo_sir_bpf_l3_round3.csv","plan"
"ADS\paper_mixed_sir_bpf_ro4350_round0.csv","projects\bfp_6_8g_i7_fr4\plans\paper_mixed_sir_bpf_ro4350_round0.csv","plan"
"ADS\paper_mixed_sir_bpf_ro4350_round1.csv","projects\bfp_6_8g_i7_fr4\plans\paper_mixed_sir_bpf_ro4350_round1.csv","plan"
"ADS\ADS自动仿真流程说明.md","projects\bfp_6_8g_i7_fr4\docs\ADS自动仿真流程说明.md","project_doc"
"ADS\automation_workflow.md","projects\bfp_6_8g_i7_fr4\docs\automation_workflow.md","project_doc"
"ADS\fr4_stub_bpf_l3_reference.md","projects\bfp_6_8g_i7_fr4\docs\fr4_stub_bpf_l3_reference.md","project_doc"
"ADS\6G宽带带通滤波器文章分析报告.html","projects\bfp_6_8g_i7_fr4\references\6g_bpf_report\6G宽带带通滤波器文章分析报告.html","reference"
"ADS\assets","projects\bfp_6_8g_i7_fr4\references\6g_bpf_report\assets","reference"
"ADS\results\dummy_mm_coords_flow.log","projects\bfp_6_8g_i7_fr4\results\dummy_mm_coords_flow.log","result"
"ADS\results\folded_sir_bpf_l1_h512_round1","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_l1_h512_round1","result"
"ADS\results\folded_sir_bpf_l1_h512_round2","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_l1_h512_round2","result"
"ADS\results\folded_sir_bpf_l1_h512_round3","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_l1_h512_round3","result"
"ADS\results\folded_sir_bpf_l1_round1","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_l1_round1","result"
"ADS\results\folded_sir_bpf_l3_round0","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_l3_round0","result"
"ADS\results\folded_sir_bpf_l3_round1","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_l3_round1","result"
"ADS\results\folded_sir_bpf_l3_round2","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_l3_round2","result"
"ADS\results\folded_sir_bpf_l3_round3","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_l3_round3","result"
"ADS\results\folded_sir_bpf_l3_round4","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_l3_round4","result"
"ADS\results\folded_sir_bpf_l3_round5","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_l3_round5","result"
"ADS\results\folded_sir_bpf_ro4350_round0","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_ro4350_round0","result"
"ADS\results\folded_sir_bpf_ro4350_round1","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_ro4350_round1","result"
"ADS\results\folded_sir_bpf_ro4350_round2","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_ro4350_round2","result"
"ADS\results\folded_sir_bpf_ro4350_round3","projects\bfp_6_8g_i7_fr4\results\folded_sir_bpf_ro4350_round3","result"
"ADS\results\folded_sir_l3_r0_base_mm_coords_flow.log","projects\bfp_6_8g_i7_fr4\results\folded_sir_l3_r0_base_mm_coords_flow.log","result"
"ADS\results\folded_sir_l3_r0_base_mm_coords_rfpro.csv","projects\bfp_6_8g_i7_fr4\results\folded_sir_l3_r0_base_mm_coords_rfpro.csv","result"
"ADS\results\folded_sir_l3_r0_base_mm_coords_score.csv","projects\bfp_6_8g_i7_fr4\results\folded_sir_l3_r0_base_mm_coords_score.csv","result"
"ADS\results\fr4_stub_bpf","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf","result"
"ADS\results\fr4_stub_bpf_l3","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3","result"
"ADS\results\fr4_stub_bpf_l3_25db_custom","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3_25db_custom","result"
"ADS\results\fr4_stub_bpf_l3_25db_n6_round10","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3_25db_n6_round10","result"
"ADS\results\fr4_stub_bpf_l3_25db_n6_round11","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3_25db_n6_round11","result"
"ADS\results\fr4_stub_bpf_l3_25db_n6_round2","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3_25db_n6_round2","result"
"ADS\results\fr4_stub_bpf_l3_25db_n6_round3","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3_25db_n6_round3","result"
"ADS\results\fr4_stub_bpf_l3_25db_n6_round4","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3_25db_n6_round4","result"
"ADS\results\fr4_stub_bpf_l3_25db_n6_round5","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3_25db_n6_round5","result"
"ADS\results\fr4_stub_bpf_l3_25db_n6_round6","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3_25db_n6_round6","result"
"ADS\results\fr4_stub_bpf_l3_25db_n6_round7","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3_25db_n6_round7","result"
"ADS\results\fr4_stub_bpf_l3_25db_n6_round8","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3_25db_n6_round8","result"
"ADS\results\fr4_stub_bpf_l3_25db_n6_round9","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3_25db_n6_round9","result"
"ADS\results\fr4_stub_bpf_l3_25db_round1","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3_25db_round1","result"
"ADS\results\fr4_stub_bpf_l3_high_edge_round1","projects\bfp_6_8g_i7_fr4\results\fr4_stub_bpf_l3_high_edge_round1","result"
"ADS\results\hilo_sir_bpf_l3_round0","projects\bfp_6_8g_i7_fr4\results\hilo_sir_bpf_l3_round0","result"
"ADS\results\hilo_sir_bpf_l3_round1","projects\bfp_6_8g_i7_fr4\results\hilo_sir_bpf_l3_round1","result"
"ADS\results\hilo_sir_bpf_l3_round2","projects\bfp_6_8g_i7_fr4\results\hilo_sir_bpf_l3_round2","result"
"ADS\results\hilo_sir_bpf_l3_round3","projects\bfp_6_8g_i7_fr4\results\hilo_sir_bpf_l3_round3","result"
"ADS\results\interdigital_7o_fr4_210um_r0_marki_10_14mil_via_mm_coords_flow.log","projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_r0_marki_10_14mil_via_mm_coords_flow.log","result"
