file,baseline_file,score_version,score_profile_id,status,connector_score,optimization_cost,band_min_ghz,band_max_ghz,s21_0p5g_db,s21_1g_db,s21_2g_db,s21_3g_db,s21_4g_db,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,s21_10g_db,s21_min_0p5_10g_db,s21_avg_0p5_10g_db,s21_ripple_0p5_10g_db,max_extra_il_0p5_10g_db,avg_extra_il_0p5_10g_db,extra_il_ripple_0p5_10g_db,worst_s11_0p5_10g_db,worst_s22_0p5_10g_db,worst_return_0p5_10g_db,worst_return_param,worst_return_freq_ghz,s11_s22_balance_max_0p5_10g_db,s11_s22_weighted_balance_max_0p5_10g_db,margin_worst_return_db,margin_s21_min_db,margin_s21_avg_db,margin_s21_ripple_db,margin_balance_db,margin_max_extra_il_db,margin_avg_extra_il_db,margin_extra_il_ripple_db,margin_weighted_balance_db,smith_z_r_min_0p5_10g,smith_z_r_max_0p5_10g,smith_z_x_min_0p5_10g,smith_z_x_max_0p5_10g,smith_tuning_hint,note,scoring_system,scoring_profile_path
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l2l4p0\l2l4p0.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,CANDIDATE,91.041,8.959,0.5,10,-0.11,-0.21,-0.31,-0.44,-0.66,-0.74,-0.83,-1.06,-1.20,-1.29,-1.54,-1.54,-0.79,1.43,0.42,0.17,0.41,-14.68,-14.01,-14.01,s22,7.4,1.59,0.51,4.01,-0.04,-0.04,-0.43,-0.09,0.08,0.08,0.09,0.49,0.69,1.40,-0.38,0.37,reduce_series_inductance_or_recover_local_capacitance,"Connector launch meets full-band tuning targets; verify ports, mesh, and manufacturing constraints.",connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l2t1p6\l2t1p6.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,66.702,33.298,0.5,10,-0.12,-0.24,-0.35,-0.55,-0.91,-1.03,-1.20,-1.59,-1.71,-1.78,-2.16,-2.16,-1.10,2.04,1.04,0.47,1.02,-9.31,-8.35,-8.35,s22,7.4,1.46,1.46,-1.65,-0.66,-0.35,-1.04,0.04,-0.54,-0.22,-0.52,-0.46,0.48,1.81,-0.81,0.68,mixed_impedance_track_check_local_resonance,full-band return loss is weak; maximum extra insertion loss versus baseline is high; average extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high; return-loss-weighted S11/S22 balance is weak.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l2w1p4_l3solid\l2w1p4_l3solid.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,83.136,16.864,0.5,10,-0.11,-0.22,-0.32,-0.49,-0.75,-0.83,-0.95,-1.24,-1.35,-1.40,-1.64,-1.64,-0.88,1.52,0.51,0.26,0.50,-12.00,-11.17,-11.17,s22,7.4,1.44,0.90,1.17,-0.14,-0.13,-0.52,0.06,-0.01,-0.01,-0.00,0.10,0.60,1.50,-0.56,0.48,mixed_impedance_track_check_local_resonance,maximum extra insertion loss versus baseline is high; average extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l2w1p5\l2w1p5.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,83.760,16.240,0.5,10,-0.11,-0.22,-0.32,-0.48,-0.75,-0.82,-0.92,-1.20,-1.32,-1.40,-1.68,-1.68,-0.87,1.56,0.56,0.24,0.54,-12.47,-11.66,-11.66,s22,7.4,1.44,0.82,1.66,-0.18,-0.12,-0.56,0.06,-0.06,0.01,-0.04,0.18,0.62,1.51,-0.51,0.47,reduce_series_inductance_or_recover_local_capacitance,maximum extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l2w1p7\l2w1p7.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,84.690,15.310,0.5,10,-0.12,-0.23,-0.31,-0.44,-0.69,-0.77,-0.87,-1.16,-1.29,-1.36,-1.74,-1.74,-0.84,1.63,0.62,0.22,0.61,-12.95,-12.35,-12.35,s22,7.4,1.45,0.58,2.35,-0.24,-0.09,-0.63,0.05,-0.12,0.03,-0.11,0.42,0.63,1.45,-0.44,0.40,reduce_series_inductance_or_recover_local_capacitance,maximum extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l2w1p8_l3solid\l2w1p8_l3solid.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,85.304,14.696,0.5,10,-0.12,-0.22,-0.31,-0.44,-0.67,-0.75,-0.84,-1.15,-1.35,-1.40,-1.66,-1.66,-0.84,1.55,0.54,0.21,0.53,-12.60,-12.16,-12.16,s22,7.6,1.67,0.51,2.16,-0.16,-0.09,-0.55,-0.17,-0.04,0.04,-0.03,0.49,0.62,1.42,-0.42,0.41,reduce_series_inductance_or_recover_local_capacitance,maximum extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l35w15\l35w15.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,77.965,22.035,0.5,10,-0.12,-0.23,-0.33,-0.50,-0.80,-0.91,-1.03,-1.34,-1.46,-1.53,-1.83,-1.83,-0.95,1.71,0.71,0.33,0.69,-11.10,-10.19,-10.19,s22,7.4,1.27,1.02,0.19,-0.33,-0.20,-0.71,0.23,-0.21,-0.08,-0.19,-0.02,0.57,1.62,-0.62,0.53,reduce_series_inductance_or_recover_local_capacitance,maximum extra insertion loss versus baseline is high; average extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high; return-loss-weighted S11/S22 balance is weak.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l35w16\l35w16.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,78.551,21.449,0.5,10,-0.12,-0.23,-0.32,-0.49,-0.76,-0.82,-1.00,-1.33,-1.40,-1.49,-1.86,-1.86,-0.92,1.74,0.74,0.30,0.72,-11.23,-10.47,-10.47,s22,7.2,1.32,0.96,0.47,-0.36,-0.17,-0.74,0.18,-0.24,-0.05,-0.22,0.04,0.57,1.51,-0.60,0.48,reduce_series_inductance_or_recover_local_capacitance,maximum extra insertion loss versus baseline is high; average extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l35w17\l35w17.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,80.816,19.184,0.5,10,-0.11,-0.20,-0.32,-0.47,-0.73,-0.84,-0.96,-1.24,-1.41,-1.50,-1.81,-1.81,-0.90,1.70,0.68,0.28,0.68,-11.85,-11.17,-11.17,s22,7.5,1.31,0.86,1.17,-0.31,-0.15,-0.70,0.19,-0.18,-0.03,-0.18,0.14,0.60,1.55,-0.51,0.48,reduce_series_inductance_or_recover_local_capacitance,maximum extra insertion loss versus baseline is high; average extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l365w15\l365w15.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,81.166,18.834,0.5,10,-0.12,-0.23,-0.32,-0.49,-0.78,-0.85,-0.97,-1.29,-1.41,-1.43,-1.68,-1.68,-0.90,1.56,0.56,0.28,0.54,-11.41,-10.59,-10.59,s22,7.4,1.39,0.94,0.59,-0.18,-0.15,-0.56,0.11,-0.06,-0.03,-0.04,0.06,0.58,1.56,-0.58,0.50,reduce_series_inductance_or_recover_local_capacitance,maximum extra insertion loss versus baseline is high; average extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l365w17\l365w17.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,84.363,15.637,0.5,10,-0.10,-0.20,-0.31,-0.45,-0.69,-0.81,-0.92,-1.18,-1.35,-1.43,-1.70,-1.70,-0.86,1.59,0.58,0.24,0.57,-12.68,-12.05,-12.05,s22,7.5,1.32,0.76,2.05,-0.20,-0.11,-0.59,0.18,-0.08,0.01,-0.07,0.24,0.63,1.49,-0.46,0.43,reduce_series_inductance_or_recover_local_capacitance,maximum extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l40w15\l40w15.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,CANDIDATE,89.599,10.401,0.5,10,-0.11,-0.21,-0.31,-0.45,-0.68,-0.76,-0.87,-1.11,-1.22,-1.28,-1.50,-1.50,-0.80,1.39,0.38,0.18,0.37,-13.87,-13.14,-13.14,s22,7.3,1.59,0.65,3.14,-0.00,-0.05,-0.39,-0.09,0.12,0.07,0.13,0.35,0.67,1.42,-0.43,0.39,reduce_series_inductance_or_recover_local_capacitance,"Connector launch meets full-band tuning targets; verify ports, mesh, and manufacturing constraints.",connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l40w17\l40w17.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,CANDIDATE,92.283,7.717,0.5,10,-0.10,-0.20,-0.30,-0.42,-0.62,-0.72,-0.82,-1.04,-1.22,-1.31,-1.53,-1.53,-0.78,1.43,0.41,0.16,0.41,-14.95,-14.53,-14.53,s22,7.6,1.49,0.38,4.53,-0.03,-0.03,-0.43,0.01,0.09,0.09,0.09,0.62,0.70,1.35,-0.33,0.32,reduce_series_inductance_or_recover_local_capacitance,"Connector launch meets full-band tuning targets; verify ports, mesh, and manufacturing constraints.",connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\ref1p5_l3solid\ref1p5_l3solid.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,CANDIDATE,86.486,13.514,0.5,10,-0.11,-0.21,-0.31,-0.45,-0.68,-0.77,-0.88,-1.15,-1.30,-1.35,-1.60,-1.60,-0.83,1.49,0.48,0.21,0.47,-13.01,-12.35,-12.35,s22,7.5,1.40,0.66,2.35,-0.10,-0.08,-0.49,0.10,0.02,0.04,0.03,0.34,0.64,1.42,-0.45,0.39,reduce_series_inductance_or_recover_local_capacitance,"Connector launch meets full-band tuning targets; verify ports, mesh, and manufacturing constraints.",connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\series_hi_z_same_anchor_a\single_30mm_series_hi_z_same_anchor_a.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,5.143,94.857,0.5,10,-0.16,-0.34,-0.60,-1.11,-1.79,-2.09,-2.59,-3.43,-3.60,-3.41,-3.85,-4.51,-2.23,4.36,3.49,1.61,3.43,-4.59,-3.69,-3.69,s22,9.4,3.82,3.82,-6.31,-3.01,-1.48,-3.36,-2.32,-2.99,-1.36,-2.93,-2.82,0.22,3.41,-1.87,1.62,reduce_pad_capacitance_or_add_short_series_inductance,full-band return loss is weak; maximum extra insertion loss versus baseline is high; average extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high; return-loss-weighted S11/S22 balance is weak.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\small_pad_l2_l3_cutout_l4_gnd_same_anchor_a\single_30mm_small_pad_l2_l3_cutout_l4_gnd_same_anchor_a.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,73.490,26.510,0.5,10,-0.12,-0.24,-0.38,-0.64,-0.98,-1.04,-1.21,-1.45,-1.40,-1.39,-1.53,-1.53,-0.99,1.41,0.63,0.37,0.61,-10.28,-9.20,-9.20,s22,6.9,2.34,1.73,-0.80,-0.03,-0.24,-0.41,-0.84,-0.13,-0.12,-0.11,-0.73,0.53,1.92,-0.78,0.70,mixed_impedance_track_check_local_resonance,full-band return loss is weak; maximum extra insertion loss versus baseline is high; average extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high; return-loss-weighted S11/S22 balance is weak.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
